componentTypeName,componentTypeId,specTypeId,specTypeName,units,valueType,specCategory,description,min,max,options,alternateNames,alternateUnits
Facility Storm Drainage,42c3f2c2-ddf5-4b2a-a617-53c63387b28f,41fc3fcb-f9c6-407a-8380-c0afa2d1378a,Design Rainfall Intensity,in/hr,NUMERIC,UNKNOWN,Design Rainfall Intensity,,,,[],[]
Facility Storm Drainage,42c3f2c2-ddf5-4b2a-a617-53c63387b28f,f64d77bc-96ab-4601-b259-fbc01a33c4b0,Drainage Capacity,GPM,NUMERIC,UNKNOWN,Drainage Capacity,,,,[],[]
Facility Storm Drainage,42c3f2c2-ddf5-4b2a-a617-53c63387b28f,50a8b382-506c-4e10-aa41-bda5da56a312,Drain Slope,%,NUMERIC,UNKNOWN,Drain Slope,,,,[],[]
Facility Storm Drainage,42c3f2c2-ddf5-4b2a-a617-53c63387b28f,aa4e4046-bb72-461b-a349-a545b6397851,Drain Velocity,ft/s,NUMERIC,UNKNOWN,Drain Velocity,,,,[],[]
Facility Storm Drainage,42c3f2c2-ddf5-4b2a-a617-53c63387b28f,71a05a24-199f-4cbc-80e3-1b9a80092ea2,Flow Rate,GPM,NUMERIC,PRIMARY_SIZE,The maximum amount of water that can be effectively handled by the storm drainage system,,,[],"[""Design Flow Rate"",""Maximum Flow Rate""]","[""L/s"",""m³/h"",""ft³/min""]"
Facility Storm Drainage,42c3f2c2-ddf5-4b2a-a617-53c63387b28f,fdb02f24-d463-4c67-a49f-2f21fed7b54e,Overflow Capacity,GPM,NUMERIC,UNKNOWN,Overflow Capacity,,,,[],[]
Facility Storm Drainage,42c3f2c2-ddf5-4b2a-a617-53c63387b28f,8b11e26c-4283-4b29-8635-1661210d1dcf,Pressure Rating,PSI,NUMERIC,UNKNOWN,Pressure Rating,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,59b25114-8a28-41e1-a612-a27f19a0403e,Burial Depth,ft,NUMERIC,UNKNOWN,Burial Depth,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,714c7e04-999e-470f-b807-38891c9cf615,Containment Type,single-wall,NUMERIC,UNKNOWN,Containment Type,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,e2284c25-00b3-4d26-8204-993359d4c2ad,Corrosion Protection Rating,years,NUMERIC,UNKNOWN,Corrosion Protection Rating,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,b4b77daa-2d03-4550-850f-81bcd4d55589,Leak Detection Rating,ppm,NUMERIC,UNKNOWN,Leak Detection Rating,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,8bcb0c08-e5c8-4472-bba6-1e8d65d5edbf,Material Rating,UL,NUMERIC,UNKNOWN,Material Rating,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,b5d10bd4-c14f-4040-b366-1117ad2f640f,Pipe Connection Diameter,in,NUMERIC,UNKNOWN,Pipe Connection Diameter,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,ae57d6cc-b90c-4b01-9c3b-a5cca373c8a9,Storage Capacity,gal,NUMERIC,PRIMARY_SIZE,The volume of fuel that can be stored in the underground fuel-oil storage tank,,,[],"[""Tank Capacity"",""Fuel Capacity""]","[""L""]"
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,3911a58e-5fc2-4d8a-9430-dcc7d71c5ed9,Tank Capacity,gal,NUMERIC,UNKNOWN,Tank Capacity,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,25b6605a-8d16-42c0-ad1c-b2fa3f586c83,Temperature Rating,°F,NUMERIC,UNKNOWN,Temperature Rating,,,,[],[]
Facility Underground Fuel-Oil Storage Tanks,b45d03e4-4376-4617-91ea-037a7249b0d6,13f3f03d-f9b4-4288-abea-baf5a82d94a4,Wall Thickness,in,NUMERIC,UNKNOWN,Wall Thickness,,,,[],[]
Factory-Fabricated Air-Handling Units,56868738-7ef3-4341-9db1-897acc8cd62b,bf9d1093-9e0f-4bf6-9abe-50780d04d595,Airflow,CFM,NUMERIC,PRIMARY_SIZE,The total volume of air moved by the air handling unit per unit of time,,,[],"[""Supply Air Flow"",""CFM""]","[""m³/h"",""L/s""]"
Factory-Fabricated Air-Handling Units,56868738-7ef3-4341-9db1-897acc8cd62b,f24e02f1-430e-4e75-8219-49e95ce8a6ed,Efficiency,EER,NUMERIC,UNKNOWN,Efficiency,,,,[],[]
Factory-Fabricated Air-Handling Units,56868738-7ef3-4341-9db1-897acc8cd62b,0877e3d7-0d67-45eb-a981-53d7537b4eec,Frequency,Hz,NUMERIC,UNKNOWN,Frequency,,,,[],[]
Factory-Fabricated Air-Handling Units,56868738-7ef3-4341-9db1-897acc8cd62b,7c0d4bca-8734-4a71-a6c1-d6aa241ad68b,Full Load Amps,A,NUMERIC,UNKNOWN,Full Load Amps,,,,[],[]
Factory-Fabricated Air-Handling Units,56868738-7ef3-4341-9db1-897acc8cd62b,afbf0e75-cdb5-421c-a07a-eee07ecc14be,Phase,ph,NUMERIC,UNKNOWN,Phase,,,,[],[]
Factory-Fabricated Air-Handling Units,56868738-7ef3-4341-9db1-897acc8cd62b,169bece5-8887-459d-8d1c-4b8074219a73,Sound Rating,dBA,NUMERIC,UNKNOWN,Sound Rating,,,,[],[]
Fan Coil Units,a08a70f9-5010-4e72-b96c-3916f4072e32,53adceb5-d164-48db-bb06-7ce8970a5174,Cooling Capacity,BTU/h,NUMERIC,PRIMARY_SIZE,The rate at which the fan coil unit can remove heat from a space,,,[],"[""Capacity"",""Nominal Cooling Capacity""]","[""MBH"",""tons"",""kW""]"
Fan Coil Units,a08a70f9-5010-4e72-b96c-3916f4072e32,eb2b4498-6df5-4e9e-8219-4db1ef3bea9c,Design Flow Rate,GPM,NUMERIC,UNKNOWN,"The flow rate of fluid, in gallons per minute",,,,"[""Specified Fluid Flow"",""Flow Rate Specification""]",[]
Fan Coil Units,a08a70f9-5010-4e72-b96c-3916f4072e32,9fee54a6-923a-4425-95f2-4abfe00f3457,Entering Dry Bulb Temp,°F,NUMERIC,UNKNOWN,"Temperature of air entering the system, in Fahrenheit",,,,"[""Inlet Air Temperature"",""Incoming Dry Bulb Temperature""]",[]
Fan Coil Units,a08a70f9-5010-4e72-b96c-3916f4072e32,3ed599e9-ada7-4ee7-984c-f46faf95b70c,External Static Pressure,inWC,NUMERIC,UNKNOWN,External Static Pressure,,,,[],[]
Fan Coil Units,a08a70f9-5010-4e72-b96c-3916f4072e32,da4c4c8e-0a52-4b1d-9b48-047d926c00f1,Leaving Dry Bulb Temp,°F,NUMERIC,UNKNOWN,"Temperature of air after it has passed through the system, in Fahrenheit",,,,"[""Exit Air Temperature"",""Outgoing Dry Bulb Temperature""]",[]
Fan Coil Units,a08a70f9-5010-4e72-b96c-3916f4072e32,50f41833-fae8-4dec-b5a9-9659574b20fe,Sensible Cooling Capacity,BTU/h,NUMERIC,UNKNOWN,Sensible Cooling Capacity,,,,[],[]
Fan-Powered VAV Terminal Units,4ea3e926-33d6-4d4c-aabb-a078d041c0cb,2848df41-f8f0-4b6f-8fb6-5386d3ff73ae,Fan Air Flow,CFM,NUMERIC,UNKNOWN,Fan Air Flow,,,,[],[]
Fan-Powered VAV Terminal Units,4ea3e926-33d6-4d4c-aabb-a078d041c0cb,38345deb-ff04-43cc-b327-ac91eae9f59c,Fan Motor Power,HP,NUMERIC,UNKNOWN,Fan Motor Power,,,,[],[]
Fan-Powered VAV Terminal Units,4ea3e926-33d6-4d4c-aabb-a078d041c0cb,3f3348cc-db25-4e7d-a6a3-c492b6a8b0dd,Primary Airflow,CFM,NUMERIC,PRIMARY_SIZE,The maximum designed primary airflow rate that the fan-powered VAV terminal unit can deliver,,,[],"[""Maximum Primary Airflow"",""Maximum Air Flow"",""Design Airflow""]","[""L/s"",""m³/h""]"
Fan-Powered VAV Terminal Units,4ea3e926-33d6-4d4c-aabb-a078d041c0cb,454a8423-77f8-486c-9a1e-881cff5005fa,Sound Power,dB,NUMERIC,UNKNOWN,Sound Power,,,,[],[]
Field-Erected Cooling Towers,048f79c7-8a2d-45d8-b693-f27ce9aed82f,35c409e7-bb6d-4937-8f26-7589e876c98e,Cooling Capacity,tons,NUMERIC,PRIMARY_SIZE,The amount of heat the cooling tower can reject from the condenser water,,,[],"[""Capacity"",""Heat Rejection Capacity""]","[""BTU/h"",""kW"",""MBTU/h""]"
Field-Erected Cooling Towers,048f79c7-8a2d-45d8-b693-f27ce9aed82f,c76418f5-46f7-472f-977c-a6f00fb024ac,Design Wet Bulb Temperature,°F,NUMERIC,UNKNOWN,Design Wet Bulb Temperature,,,,[],[]
Field-Erected Cooling Towers,048f79c7-8a2d-45d8-b693-f27ce9aed82f,1ce1e10b-6f77-4568-8ef1-4896436a8396,Entering Water Temperature,°F,NUMERIC,UNKNOWN,Entering Water Temperature,,,,[],[]
Field-Erected Cooling Towers,048f79c7-8a2d-45d8-b693-f27ce9aed82f,244055de-c25b-4a2c-a3ca-d7996e244957,Leaving Water Temperature,°F,NUMERIC,UNKNOWN,Leaving Water Temperature,,,,[],[]
Field-Erected Cooling Towers,048f79c7-8a2d-45d8-b693-f27ce9aed82f,acfbf284-8d33-4f21-83e9-a9ccac8de7ac,Noise Level,dBA,NUMERIC,UNKNOWN,Noise Level,,,,[],[]
Field-Erected Cooling Towers,048f79c7-8a2d-45d8-b693-f27ce9aed82f,6283d63d-0527-4736-ad99-c0cb1dd1f388,Thermal Efficiency,%,NUMERIC,UNKNOWN,Thermal Efficiency,,,,[],[]
" Finned-Tube Radiation Heaters",41dcc1de-0f02-4063-9ec6-891b6ff64fce,3191e160-4310-42d1-a6ba-d2afef0c0eb1,Connection Size,in,NUMERIC,UNKNOWN,Connection Size,,,,[],[]
" Finned-Tube Radiation Heaters",41dcc1de-0f02-4063-9ec6-891b6ff64fce,98539183-842c-4550-a276-a71e744431bc,Element Length,ft,NUMERIC,UNKNOWN,Element Length,,,,[],[]
" Finned-Tube Radiation Heaters",41dcc1de-0f02-4063-9ec6-891b6ff64fce,d9c56a8d-3194-427c-8d1f-0bdb369e1803,Fin Spacing,fins/in,NUMERIC,UNKNOWN,Fin Spacing,,,,[],[]
" Finned-Tube Radiation Heaters",41dcc1de-0f02-4063-9ec6-891b6ff64fce,ab699264-798d-4259-bc16-b36ac0e2caf5,Heating Capacity,MBH,NUMERIC,PRIMARY_SIZE,The amount of heat energy that the finned-tube radiation heater can transfer to a space per unit time,,,[],"[""Output Capacity"",""Heat Output""]","[""BTU/h"",""kW"",""W""]"
" Finned-Tube Radiation Heaters",41dcc1de-0f02-4063-9ec6-891b6ff64fce,ab2e0c28-69b1-44f7-a450-6b38e2b9c429,Maximum Operating Pressure,PSI,NUMERIC,UNKNOWN,Maximum Operating Pressure,,,,[],[]
" Finned-Tube Radiation Heaters",41dcc1de-0f02-4063-9ec6-891b6ff64fce,c5288d85-8b02-4f99-b423-5eb38980c0d5,Maximum Operating Temperature,°F,NUMERIC,UNKNOWN,Maximum Operating Temperature,,,,[],[]
Finned Water-Tube Boilers,19fb4149-eb0c-429e-a067-137755394564,a812424d-30d3-41a8-a073-0ebe184fbbef,Fuel Input Rate,BTU/h,NUMERIC,UNKNOWN,Fuel Input Rate,,,,[],[]
Finned Water-Tube Boilers,19fb4149-eb0c-429e-a067-137755394564,191b6afc-52ab-4079-9833-784f244c703d,Heating Capacity,MBH,NUMERIC,PRIMARY_SIZE,The maximum heat output capacity of the finned water-tube boiler,,,[],"[""Boiler Capacity"",""Output Capacity""]","[""BTU/h"",""kW"",""hp""]"
Finned Water-Tube Boilers,19fb4149-eb0c-429e-a067-137755394564,c30c11d6-ef65-4fb2-92fe-ce9ab71fd2c2,Heat Transfer Area,ft²,NUMERIC,UNKNOWN,Heat Transfer Area,,,,[],[]
Finned Water-Tube Boilers,19fb4149-eb0c-429e-a067-137755394564,81ff081d-1327-46a0-9bc2-956e2e2d7914,Turndown Ratio,:1,NUMERIC,UNKNOWN,Turndown Ratio,,,,[],[]
Finned Water-Tube Boilers,19fb4149-eb0c-429e-a067-137755394564,34f46019-efd5-4758-a85e-b7f2499fce41,Water Temperature,°F,NUMERIC,UNKNOWN,Water Temperature,,,,[],[]
Finned Water-Tube Boilers,19fb4149-eb0c-429e-a067-137755394564,5b34ba69-da4e-46f4-8011-03ba0c420e83,Water Volume,gal,NUMERIC,UNKNOWN,Water Volume,,,,[],[]
Fire Dampers,13fd324c-0674-48b3-ba44-b0e039557ef0,646fd981-1159-4f15-8cc8-c9de277608de,Actuation Pressure,inWC,NUMERIC,UNKNOWN,Actuation Pressure,,,,[],[]
Fire Dampers,13fd324c-0674-48b3-ba44-b0e039557ef0,ccdee6e2-7fc8-4009-85cc-71ddcc103eca,Closure Response Time,s,NUMERIC,UNKNOWN,Closure Response Time,,,,[],[]
Fire Dampers,13fd324c-0674-48b3-ba44-b0e039557ef0,e8303ccd-b131-4a51-bcb9-bfe1ab2cd94c,Fire Resistance Rating,hr,NUMERIC,UNKNOWN,Fire Resistance Rating,,,,[],[]
Fire Dampers,13fd324c-0674-48b3-ba44-b0e039557ef0,d08bf37c-d58b-4fe5-87cc-f0e6dd6e6230,Maximum Air Velocity,fpm,NUMERIC,UNKNOWN,Maximum Air Velocity,,,,[],[]
Fire Dampers,13fd324c-0674-48b3-ba44-b0e039557ef0,ad136123-98c5-4235-95d0-797041882185,Nominal Size,inches,NUMERIC,PRIMARY_SIZE,"The nominal dimensional size of the fire damper, typically corresponding to the duct size it is installed in",,,[],"[""Damper Size"",""Duct Size""]","[""mm""]"
Fire Dampers,13fd324c-0674-48b3-ba44-b0e039557ef0,ae9855d4-1879-48a1-9c62-e3c22977599d,Nominal Size,in,NUMERIC,UNKNOWN,Nominal Size,,,,[],[]
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,72aa15ee-bb44-43c7-8330-386d6645c99a,Agent Capacity,lb,NUMERIC,UNKNOWN,Agent Capacity,,,,[],[]
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,80a4d3ff-865c-4de3-b00f-a49278e4aadf,Coverage Area,sq ft,NUMERIC,PRIMARY_SIZE,The total floor area that the fire-extinguishing system is designed to protect,,,[],"[""Protected Area"",""Area Coverage""]","[""sq m"",""ft²"",""m²""]"
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,f39bda4e-ee7a-40d1-987e-5baf10686646,Coverage Area,ft²,NUMERIC,UNKNOWN,Coverage Area,,,,[],[]
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,18b8dd57-c3db-482c-8a53-d0dd22a089f9,Discharge Time,s,NUMERIC,UNKNOWN,Discharge Time,,,,[],[]
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,c7dcbcf3-40d6-45fa-8da1-b5d0564e44c4,Fire Suppression Agent,type,NUMERIC,UNKNOWN,Fire Suppression Agent,,,,[],[]
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,092b7114-10fe-4743-8b8a-92879b52fcf7,Flow Rate,GPM,NUMERIC,UNKNOWN,Flow Rate,,,,[],[]
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,f57f1c6e-0470-4c59-8d34-0f0eb62c26ce,Nozzle Pressure,PSI,NUMERIC,UNKNOWN,Nozzle Pressure,,,,[],[]
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,a11adb3b-7651-46ad-9f05-2dc9874f6e39,Operating Pressure,PSI,NUMERIC,UNKNOWN,Operating Pressure,,,,[],[]
Fire-Extinguishing Systems,b9d297c0-e088-4fa2-855d-029491de5baf,768017eb-6b93-470b-b16c-6c1e7ef481e1,Pipe Size,in,NUMERIC,UNKNOWN,Pipe Size,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,794f0048-0351-4d0f-8722-6603c466714d,Activation Pressure,PSI,NUMERIC,UNKNOWN,Activation Pressure,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,a2189ece-6b4d-4c13-9a63-85d01e3878a0,Coverage Area,sq ft,NUMERIC,PRIMARY_SIZE,The total area that the fire protection system is designed to protect,,,[],"[""Protected Area"",""Floor Area""]","[""sq m""]"
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,23f63fe1-a89b-4dc8-80de-0f91ef1d2661,Fire Damper Size,inches,NUMERIC,UNKNOWN,Fire Damper Size,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,0cc870c8-7671-454f-8d92-9a0700d41415,Fire Rating,hours,NUMERIC,UNKNOWN,Fire Rating,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,b32a4465-c729-4d08-bb89-342a8d7953a3,Flow Coefficient,Cv,NUMERIC,UNKNOWN,Flow Coefficient,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,a5917872-40df-4efc-b6de-195c8ad7b609,Leakage Rating,CFM/ft²,NUMERIC,UNKNOWN,Leakage Rating,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,21ae7aa5-4b0b-4c48-8629-d61a94b23531,Melting Point,°F,NUMERIC,UNKNOWN,Melting Point,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,1f5ea983-5393-43c3-8d3f-290fd29d8437,Pressure Class,PSI,NUMERIC,UNKNOWN,Pressure Class,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,a848d005-5dda-4d60-8427-725722a4cada,Response Time,seconds,NUMERIC,UNKNOWN,Response Time,,,,[],[]
Fire Protection,55f62603-9466-4f75-94e9-b606cbbf3f86,7941bf9a-f7f3-4c02-b526-ff9eee39ad95,Temperature Rating,°F,NUMERIC,UNKNOWN,Temperature Rating,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,2bcf038b-ce45-43a0-926c-761b899b4559,Current,A,NUMERIC,UNKNOWN,Current,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,8dc8d5a8-5cfd-4023-a8d2-63dc9a2a1e36,Efficiency,%,NUMERIC,UNKNOWN,Efficiency,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,ae198ac2-677f-4bc6-a898-b9f3aaf7f3d1,Flow Rate,GPM,NUMERIC,PRIMARY_SIZE,The maximum volume of water the fire pump can move per unit time,,,[],"[""Rated Flow"",""Capacity""]","[""L/min"",""m³/h""]"
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,b706cd57-99f6-46d1-80f4-35713f82a379,Flow Rate,GPM,NUMERIC,UNKNOWN,Flow Rate,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,11a25ec7-4fae-4283-add8-def4d71eea4f,Head,ft,NUMERIC,UNKNOWN,Head,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,21700e7e-14db-45d3-9c7d-c5406d5aed1a,Net Positive Suction Head,ft,NUMERIC,UNKNOWN,Net Positive Suction Head,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,ec7a7fe5-8e90-4c59-bcdb-9bba0753f306,Operating Temperature,°F,NUMERIC,UNKNOWN,Operating Temperature,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,db052b69-8e4c-405d-94ef-9643b28106d0,Power,HP,NUMERIC,UNKNOWN,Power,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,9d802c0d-d07e-4344-b163-f4c7c52d23e7,Pressure,PSI,NUMERIC,UNKNOWN,Pressure,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,2fa62218-0804-4688-be68-ca10c1bc90d4,Speed,RPM,NUMERIC,UNKNOWN,Speed,,,,[],[]
Fire Pumps,ed1ace35-a523-47c3-9ee8-5d264de8d6a0,1752d77f-f759-472b-8111-6c20cccb4db6,Voltage,V,NUMERIC,UNKNOWN,Voltage,,,,[],[]
Fire-Suppression Sprinkler Systems,bf56acbd-de53-44e7-b030-8b86a0d57a15,e25aa50d-c3dc-458b-bc2e-d80ce17f194c,Coverage Area,sq ft,NUMERIC,PRIMARY_SIZE,The total floor area protected by the sprinkler system,,,[],"[""Protected Area"",""System Coverage""]","[""sq m"",""acres""]"
Fire-Suppression Sprinkler Systems,bf56acbd-de53-44e7-b030-8b86a0d57a15,26a02d40-7991-4018-a9ca-c97e971af3d9,Maximum Spacing,ft,NUMERIC,UNKNOWN,Maximum Spacing,,,,[],[]
Fire-Suppression Sprinkler Systems,bf56acbd-de53-44e7-b030-8b86a0d57a15,1172e232-7574-43de-a90b-b0bb624e99c2,Minimum Flow Rate,GPM,NUMERIC,UNKNOWN,Minimum Flow Rate,,,,[],[]
Fire-Suppression Sprinkler Systems,bf56acbd-de53-44e7-b030-8b86a0d57a15,338c682f-4f4a-4b8e-9857-94cfecfca02a,Orifice Size,in,NUMERIC,UNKNOWN,Orifice Size,,,,[],[]
Fire-Suppression Sprinkler Systems,bf56acbd-de53-44e7-b030-8b86a0d57a15,edcc2388-931b-4648-94e9-970da90494cc,Pipe Diameter,in,NUMERIC,UNKNOWN,Pipe Diameter,,,,[],[]
Fire-Suppression Sprinkler Systems,bf56acbd-de53-44e7-b030-8b86a0d57a15,76927113-3c2c-4a30-a52e-6cba59da510d,Response Time Index,(ft·s)^0.5,NUMERIC,UNKNOWN,Response Time Index,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,fe091aba-6eda-447b-b20e-41e4a5718aae,Connection Size,in,NUMERIC,UNKNOWN,Connection Size,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,3a2d912a-5202-45ea-b529-912ec2fd1b6c,Empty Weight,lb,NUMERIC,UNKNOWN,Empty Weight,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,caece34b-f0c4-44c9-b001-6fdaad82d53f,Filled Weight,lb,NUMERIC,UNKNOWN,Filled Weight,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,9a324a6a-06f4-441a-9e43-6956a116235e,Fill Time,min,NUMERIC,UNKNOWN,Fill Time,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,485f8ba6-4f85-4f9b-96ab-851bb7d78294,Operating Pressure,PSI,NUMERIC,UNKNOWN,Operating Pressure,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,9c048bd3-2e8f-4d7c-b552-58e2ab2a2dbd,Shell Thickness,in,NUMERIC,UNKNOWN,Shell Thickness,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,68f9871c-1ba4-4688-8a3f-475476efa064,Storage Capacity,gal,NUMERIC,UNKNOWN,Storage Capacity,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,1b1d5fa2-2ca6-4fbb-9cfc-2798be2b5657,Storage Capacity,gallons,NUMERIC,PRIMARY_SIZE,The volumetric capacity of the fire-suppression water storage tank,,,[],"[""Volume"",""Tank Capacity""]","[""liters"",""cubic feet"",""m³""]"
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,3f3272fa-9a5d-4050-aed0-a3760f345722,Tank Diameter,in,NUMERIC,UNKNOWN,Tank Diameter,,,,[],[]
Fire-Suppression Water Storage,f04f8c8a-5005-43dd-b5d2-d7e9caee580f,1cb83101-a17e-49a8-b40d-17747874450f,Tank Height,ft,NUMERIC,UNKNOWN,Tank Height,,,,[],[]
Fire-Suppression Water Storage Tanks,ceb8ab24-993e-4e2b-947c-15ef5449cba4,97e818b7-6fbb-4c25-adce-544cd8e3f49e,Capacity,Gallons,NUMERIC,PRIMARY_SIZE,The total volume of water the fire-suppression water storage tank can hold,,,[],"[""Storage Capacity"",""Volume""]","[""L"",""m³"",""ft³""]"
Fire-Suppression Water Storage Tanks,ceb8ab24-993e-4e2b-947c-15ef5449cba4,39c02ac1-dd10-455f-a5fb-260c9975c002,Fill Rate,GPM,NUMERIC,UNKNOWN,Fill Rate,,,,[],[]
Fire-Suppression Water Storage Tanks,ceb8ab24-993e-4e2b-947c-15ef5449cba4,3b929318-635d-4f94-b0e3-5c86aab212d6,Full Weight,lb,NUMERIC,UNKNOWN,Full Weight,,,,[],[]
Fire-Suppression Water Storage Tanks,ceb8ab24-993e-4e2b-947c-15ef5449cba4,6a7f7b5a-1ca0-4c1a-b338-eac2e801eaad,Maximum Pressure,PSI,NUMERIC,UNKNOWN,Maximum Pressure,,,,[],[]
Fire-Suppression Water Storage Tanks,ceb8ab24-993e-4e2b-947c-15ef5449cba4,98e7f302-f31e-4ff1-aef5-d7dd654da641,Tank Capacity,gal,NUMERIC,UNKNOWN,Tank Capacity,,,,[],[]
Fire-Suppression Water Storage Tanks,ceb8ab24-993e-4e2b-947c-15ef5449cba4,43d92082-96d3-4c03-aaa8-8d760ad33385,Temperature Range,°F,NUMERIC,UNKNOWN,Temperature Range,,,,[],[]
Fire-Tube Boilers,47e27221-a552-4e28-a1e8-7c8081b58e48,8694469e-a1c1-4090-be8a-e3395374edcd,Capacity,MBH,NUMERIC,PRIMARY_SIZE,The heat output capacity of the fire-tube boiler,,,[],"[""Heating Output"",""Boiler Output""]","[""BTU/h"",""kW"",""BHP""]"
Fire-Tube Boilers,47e27221-a552-4e28-a1e8-7c8081b58e48,78d82263-6f2c-493f-afe7-742a1645e32b,Design Temperature,°F,NUMERIC,UNKNOWN,Design Temperature,,,,[],[]
Fire-Tube Boilers,47e27221-a552-4e28-a1e8-7c8081b58e48,0b18e6dd-6415-4017-ba4c-cb61875e5537,Flue Gas Temperature,°F,NUMERIC,UNKNOWN,Flue Gas Temperature,,,,[],[]
Fire-Tube Boilers,47e27221-a552-4e28-a1e8-7c8081b58e48,a99d685e-fdc0-435e-84f3-db677a3366e4,Fuel Input,BTU/h,NUMERIC,UNKNOWN,Fuel Input,,,,[],[]
Fire-Tube Boilers,47e27221-a552-4e28-a1e8-7c8081b58e48,594eb9b7-234c-4390-861f-b8487dd2f43d,Stack Diameter,in,NUMERIC,UNKNOWN,Stack Diameter,,,,[],[]
Fire-Tube Boilers,47e27221-a552-4e28-a1e8-7c8081b58e48,97e4cccf-4f01-45eb-92b8-e31063771213,Steam Capacity,lb/h,NUMERIC,UNKNOWN,Steam Capacity,,,,[],[]
Fire-Tube Boilers,47e27221-a552-4e28-a1e8-7c8081b58e48,1af6cb4f-7013-41b2-a301-972cc4b2ef7f,Turndown Ratio,:1,NUMERIC,UNKNOWN,Turndown Ratio,,,,[],[]
Fire-Tube Boilers,47e27221-a552-4e28-a1e8-7c8081b58e48,87738c4c-39b8-4a96-8919-1c77bab3d25f,Water Volume,gal,NUMERIC,UNKNOWN,Water Volume,,,,[],[]
